Continent,Country,Population_Density,Fertility_Rate,GDP_PPP,Corruption,Government_Effectiveness,Political_Stability,Rule_of_Law,Government_Healthcare_Spend,Urban_Population,Smoking_Prevalence,Tourism,Women_In_Parliament,Obesity_Rate,Year,Diabetes Prevelance % of Population 20-79,Labour Force Total,Population,Population Aged 65 and above % of Total,Urban Population,Death Rate Per 1000 (2017),PM2.5 mean annual exposure,PM2.5 population exposed exceeding levels,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Land Border Countries,Passengerkm
Europe,Romania,83.6,1.56,26400.0,-0.12165039999999999,-0.25344179999999994,0.0593082,0.3254628,0.7858779,0.0936,0.297,11720000.0,0.21884499999999998,0.225,2019.0,6.9,8932844.0,19356544.0,18.79006579,10468793.0,13.3,14.61134019,98.01746488,139612,5121,7.212651184013014,0.2645616903513355,5,14.711795493284688
Africa,Rwanda,525.0,3.6,2230.0,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.12300000000000001,,0.6125,0.057999999999999996,2019.0,5.1,6362559.0,12626950.0,3.0282530619999997,2186104.0,5.308,43.21021716,100.0,4873,29,0.3859205904830541,0.002296674969014687,4,1.3123456989715003
Asia,Saudi Arabia,16.2,2.38,48200.0,0.3596962,0.3234982,-0.5181113,0.1417293,,0.475,0.156,15334000.0,0.1986755,0.354,2019.0,15.8,14387604.0,34268528.0,3.4128866,28807838.0,3.446,87.94544668,100.0,337243,4923,9.841187225783377,0.14365951172457714,7,64.50524433404583
Europe,Serbia,99.9,1.63,17400.0,-0.37021479999999996,0.1116198,0.08247739999999999,-0.1464036,0.5671489000000001,0.201,0.389,1711000.0,0.3765182,0.215,2019.0,9.0,3218840.0,6944975.0,18.74050342,3907243.0,14.8,24.72635819,100.0,34072,757,4.905993182120886,0.10899967242502673,8,3.495879968754997
Asia,Singapore,8360.0,1.27,90500.0,2.1745240000000003,2.231474,1.5103389999999999,1.844891,0.48204359999999996,1.0,0.165,14673000.0,0.23,0.061,2019.0,5.5,3527065.0,5703569.0,12.39312948,5703569.0,5.0,19.078256500000002,100.0,57830,27,10.13926543187257,0.004733878033210433,0,119.29509264267332
Africa,South Africa,48.9,2.35,12000.0,-0.021569,0.3403786,-0.2766732,-0.10249569999999998,0.5365101,0.35600000000000004,0.203,10472000.0,0.46347609999999995,0.28300000000000003,2019.0,12.7,23300226.0,58558270.0,5.415255608,39149717.0,9.498,25.10220499,100.0,683242,17103,11.667728571899408,0.29206805460612134,6,37.48589850263856
Europe,Spain,93.7,1.42,36200.0,0.613507,1.0021360000000001,0.2548025,0.9689376000000001,0.706162,0.257,0.293,82773000.0,0.44,0.23800000000000002,2019.0,6.9,23120097.0,47076781.0,19.64782295,37927409.0,9.1,9.697927863,41.11554943,825410,32486,17.533271869204484,0.6900641740989045,5,203.42414664904038
Asia,Sri Lanka,341.0,1.99,12400.0,-0.3355435,-0.23537929999999996,-0.1831642,0.026323400000000004,0.42949040000000005,,0.13,2334000.0,0.05333333,0.052000000000000005,2019.0,10.7,8938985.0,21803000.0,10.83880576,4052088.0,6.553999999999999,11.09961724,45.53841726,4252,13,0.19501903407787918,0.0005962482227216438,0,15.7466109949266
South America,Suriname,3.76,2.28,14100.0,-0.21148440000000002,-0.6553036999999999,0.0773252,-0.0639684,0.5856004,,0.25,,0.3137255,0.264,2019.0,12.5,217284.0,581372.0,7.015129728,384258.0,7.277,24.78001054,100.0,4965,106,8.540142972141762,0.18232732226526216,3,1.1853497345189996
Europe,Sweden,24.6,1.91,47400.0,2.1395779999999998,1.830975,0.9136876,1.8959830000000002,0.8369492000000001,0.156,0.188,7440000.0,0.47277939999999996,0.20600000000000002,2019.0,4.8,5470074.0,10285453.0,20.19856962,9021165.0,9.1,6.18466509,3.636487382,96145,5883,9.347668012288812,0.5719728630328679,2,28.995605876199498
Europe,Switzerland,219.0,1.56,59100.0,2.0097099999999997,2.039621,1.344863,1.9312220000000002,0.3049283,0.161,0.257,10362000.0,0.415,0.195,2019.0,5.7,4978166.0,8574832.0,18.83799606,6332428.0,7.9,10.303100099999998,49.30013623,56502,1786,6.589283615119223,0.20828396404734228,5,51.161359476825496
Asia,Tajikistan,68.1,3.18,3230.0,-1.415102,-1.097704,-0.7243188,-1.282616,0.29003920000000005,,,1035000.0,0.1904762,0.142,2019.0,6.1,2464790.0,9321018.0,3.085961212,2545477.0,4.961,46.15218537,100.0,10014,78,1.0743461712014717,0.008368184676823926,4,2.5828473948496002
Asia,Thailand,137.0,1.43,17900.0,-0.3988041,0.3499596,-0.733099,0.0232979,0.7612762,0.204,0.19899999999999998,38178000.0,0.162,0.1,2019.0,7.0,38989896.0,69625582.0,12.40625033,35294600.0,7.559,26.25672656,100.0,3615,59,0.05192057137849131,0.0008473896850154875,4,130.67338973319005
North America,Trinidad and Tobago,273.0,1.71,28800.0,-0.317267,0.1902379,0.2480514,-0.12050739999999999,0.5319979,,,375000.0,0.30952379999999996,0.18600000000000003,2019.0,11.0,666923.0,1394973.0,11.11820802,741944.0,8.261000000000001,24.10856843,100.0,4846,83,3.4739023622679435,0.05949935948581084,0,2.2211672379483085
Africa,Tunisia,76.1,2.1,11300.0,-0.05348630000000001,-0.10526179999999999,-0.9018921,0.0393894,0.5712165,0.19899999999999998,0.327,8299000.0,0.2258064,0.26899999999999996,2019.0,8.5,4087299.0,11694719.0,8.593468556,8099061.0,6.274,37.65599375,100.0,23453,321,2.0054351028015294,0.027448286701031464,2,7.455222949226205
Asia,Turkey,110.0,1.98,25500.0,-0.33538379999999995,0.0060968,-1.328783,-0.31929840000000004,0.7771026999999999,0.37,0.272,45768000.0,0.1744967,0.321,2019.0,11.1,33368843.0,83429615.0,8.726283826,63097818.0,5.394,44.31152568,100.0,327557,8553,3.9261478073463483,0.10251755326930372,8,106.975590193554
Europe,Ukraine,75.5,1.59,8770.0,-0.8736908000000001,-0.41521990000000003,-1.826185,-0.7177935000000001,0.4402362,0.122,0.289,14104000.0,0.20518870000000003,0.24100000000000002,2019.0,6.1,20203893.0,44385155.0,16.70499039,30835699.0,14.5,20.30977582,100.0,234584,4520,5.285190510205496,0.10183585029724466,7,15.507664714892199
Asia,United Arab Emirates,118.0,1.69,65300.0,1.151608,1.431291,0.7432382,0.8064475999999999,0.7197389,0.605,0.289,21286000.0,0.5,0.317,2019.0,16.3,6840917.0,9770529.0,1.156549456,8479744.0,1.429,40.91750982,100.0,100794,435,10.316125155557083,0.04452164258455197,2,233.21011784749183
Asia,Uzbekistan,78.7,2.18,6790.0,-1.068714,-0.5470828000000001,-0.283422,-1.073632,0.4329955,0.0742,0.126,5346000.0,0.16,0.166,2019.0,6.5,15555948.0,33580650.0,4.595215725,16935729.0,5.0,28.4559012,100.0,59343,489,1.767178419714925,0.014561957555913897,5,5.820692812647798
