Continent,Country,Population_Density,Fertility_Rate,GDP_PPP,Corruption,Government_Effectiveness,Political_Stability,Rule_of_Law,Government_Healthcare_Spend,Urban_Population,Smoking_Prevalence,Tourism,Women_In_Parliament,Obesity_Rate,Year,Diabetes Prevelance % of Population 20-79,Labour Force Total,Population,Population Aged 65 and above % of Total,Urban Population,Death Rate Per 1000 (2017),PM2.5 mean annual exposure,PM2.5 population exposed exceeding levels,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Land Border Countries,Passengerkm
South America,Colombia,45.9,1.78,14000.0,-0.3014929,-0.08522619999999999,-0.8133885000000001,-0.40780890000000003,0.6779965,0.439,0.09,3904000.0,0.1871345,0.223,2019.0,7.4,26787864.0,50339443.0,8.765830007,40827302.0,5.502999999999999,16.52721022,92.10462898,869808,27017,17.2788562638645,0.5366964429860697,5,22.33475827221614
North America,Costa Rica,99.8,1.73,16000.0,0.5517608,0.3781868,0.48643450000000005,0.47870280000000004,0.7350926999999999,0.273,0.11900000000000001,3017000.0,0.45614040000000006,0.257,2019.0,9.1,2473778.0,5047561.0,9.880435323,4041885.0,5.005,15.7259203,99.68879337,82142,1004,16.273602240765392,0.19890794781875842,2,7.716158591405363
Europe,Croatia,73.4,1.44,25300.0,0.1316391,0.4569183,0.7688775999999999,0.324786,0.8282709999999999,,0.37,16645000.0,0.205298,0.244,2019.0,5.4,1778668.0,4067500.0,20.86013523,2328318.0,13.0,17.90177229,99.77960527,18084,304,4.445974185617701,0.07473878303626305,5,5.996663812961291
North America,Cuba,106.0,1.72,8370.0,0.1654153,-0.24483779999999997,0.6523342,-0.4443496,0.8944213,0.18899999999999997,0.35200000000000004,4684000.0,0.5322314,0.24600000000000002,2019.0,9.6,5098407.0,11333483.0,15.56495916,8739135.0,8.827,19.7060474,100.0,5883,123,0.5190813803664769,0.010852797855698907,0,14.756635049830338
Europe,Denmark,137.0,1.77,48900.0,2.147795,1.871631,0.9590668,1.833378,0.8402403,0.22899999999999998,0.191,12749000.0,0.3910614,0.19699999999999998,2019.0,8.3,3026441.0,5818553.0,19.96525913,5119978.0,9.2,10.02965344,56.91445611,30379,663,5.2210575378448905,0.11394585561049285,1,27.41990538018715
South America,Ecuador,71.0,2.38,10100.0,-0.5617972,-0.2613976,-0.0747498,-0.6301614999999999,0.5282087,0.276,0.071,2535000.0,0.379562,0.19899999999999998,2019.0,5.5,8545537.0,17373662.0,7.372199367,11116711.0,5.101,14.88610066,98.31562394,142056,11702,8.17651454252995,0.6735482709402313,2,6.285042151764747
Africa,Egypt,103.0,3.06,11800.0,-0.5869340999999999,-0.5848041,-1.164931,-0.412311,0.32995240000000003,0.256,0.252,11196000.0,0.1493289,0.32,2019.0,17.2,30828413.0,100388073.0,5.276332976,42895824.0,5.8629999999999995,86.99945205,100.0,103902,6001,1.0350034311346927,0.059778017653551334,4,27.72387487628458
North America,El Salvador,313.0,2.0,7610.0,-0.5911076999999999,-0.4471425,-0.3348508,-0.8247701,0.6374561,0.171,0.099,1677300.0,0.30952379999999996,0.24600000000000002,2019.0,8.8,2789514.0,6453553.0,8.469582569,4694702.0,7.011,24.47229229,100.0,29737,873,4.60784935058254,0.13527432098256573,2,5.121904454521609
Africa,Ethiopia,115.0,3.76,2000.0,-0.4861672,-0.6074696999999999,-1.343246,-0.4282891,0.2494518,0.040999999999999995,0.044000000000000004,849000.0,0.3875686,0.045,2019.0,4.3,53195214.0,112078730.0,3.516690455,23788710.0,6.691,38.97873776,100.0,80003,1238,0.7138107292971646,0.011045806818117943,6,19.847420658144003
Oceania,Fiji,49.1,2.42,10200.0,0.38099740000000004,0.2595362,0.7425547,-0.1286585,0.6623089,,0.226,870000.0,0.19607839999999999,0.302,2019.0,14.7,362720.0,889953.0,5.624229594,505048.0,8.18,10.8401599,82.80318235,32,2,0.035956955030209466,0.0022473096893880916,0,4.158056464598801
