Target Country,Country,Population,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Itself
Belarus,Latvia,1912789.0,2194.0,39.0,1.14701621558886,0.02038907584683935,False
Belarus,Lithuania,2786844.0,5366.0,99.0,1.9254755558617562,0.03552405516778119,False
Belarus,Poland,37970874.0,104316.0,2717.0,2.747263599989824,0.07155484490559791,False
Belarus,Russia,144373535.0,1237504.0,21663.0,8.571543254101245,0.150048275814539,False
Belarus,Ukraine,44385155.0,234584.0,4520.0,5.285190510205496,0.10183585029724466,False
Belgium,Belgium,11484055.0,134197.0,10092.0,11.685506556699702,0.8787836700538268,True
Belgium,France,67059887.0,634763.0,32365.0,9.465613922075352,0.48262831101996934,False
Belgium,Germany,83132799.0,306086.0,9562.0,3.681892149451145,0.11502078740305616,False
Belgium,Luxembourg,619896.0,8979.0,128.0,14.484687754074876,0.20648624930633527,False
Belgium,Netherlands,17332850.0,144838.0,6473.0,8.356271472954536,0.3734527212778049,False
Belize,Belize,390353.0,2243.0,34.0,5.74608111119935,0.08710064992455546,True
Belize,Guatemala,16604026.0,94870.0,3310.0,5.713674502798297,0.19934924216572536,False
Belize,Mexico,127575529.0,769558.0,79714.0,6.032175653373148,0.6248376990856922,False
Benin,Benin,11801151.0,2357.0,41.0,0.1997262809364951,0.003474237385827874,True
Benin,Burkina Faso,20321378.0,2197.0,59.0,0.10811274707847077,0.0029033464167636663,False
Benin,Niger,23310715.0,1200.0,69.0,0.05147847245354765,0.00296001216607899,False
Benin,Nigeria,200963599.0,59583.0,1113.0,0.29648652938386116,0.005538316419183954,False
Benin,Togo,8082366.0,1881.0,49.0,0.23272888161709082,0.00606258117981789,False
Bhutan,Bhutan,763092.0,300.0,0.0,0.393137393656335,0.0,True
Bhutan,China,1397715000.0,90667.0,4739.0,0.06486801672730134,0.003390533835581646,False
Bhutan,India,1366417754.0,6757131.0,104555.0,4.945142860021709,0.07651759477943668,False
Bolivia,Argentina,44938712.0,824455.0,21827.0,18.34620894341609,0.48570595436736147,False
Bolivia,Bolivia,11513100.0,137468.0,8156.0,11.940137756121286,0.708410419435252,True
Bolivia,Brazil,211049527.0,4969141.0,147494.0,23.54490469907568,0.6988596567667267,False
Bolivia,Chile,18952038.0,473306.0,13070.0,24.973884075158566,0.6896355948632015,False
Bolivia,Paraguay,7044636.0,45647.0,966.0,6.4796818458753584,0.13712560876104882,False
Bolivia,Peru,32510453.0,832929.0,32914.0,25.620344324331622,1.0124128384184619,False
Bosnia and Herzegovina,Bosnia and Herzegovina,3301000.0,28710.0,903.0,8.697364435019692,0.2735534686458649,True
Bosnia and Herzegovina,Croatia,4067500.0,18084.0,304.0,4.445974185617701,0.07473878303626305,False
Bosnia and Herzegovina,Montenegro,622137.0,12584.0,188.0,20.22705609857636,0.3021842455922088,False
Bosnia and Herzegovina,Serbia,6944975.0,34072.0,757.0,4.905993182120886,0.10899967242502673,False
Botswana,Botswana,2303697.0,3172.0,16.0,1.376917190064492,0.006945357831346743,True
Botswana,Namibia,2494530.0,11673.0,125.0,4.679438611682361,0.050109639892083876,False
Botswana,South Africa,58558270.0,683242.0,17103.0,11.667728571899408,0.29206805460612134,False
Botswana,Zambia,17861030.0,15170.0,334.0,0.8493351167317899,0.018699929399368348,False
Botswana,Zimbabwe,14645468.0,7915.0,229.0,0.5404402235558468,0.01563623641115463,False
Brazil,Argentina,44938712.0,824455.0,21827.0,18.34620894341609,0.48570595436736147,False
Brazil,Bolivia,11513100.0,137468.0,8156.0,11.940137756121286,0.708410419435252,False
Brazil,Brazil,211049527.0,4969141.0,147494.0,23.54490469907568,0.6988596567667267,True
Brazil,Colombia,50339443.0,869808.0,27017.0,17.2788562638645,0.5366964429860697,False
Brazil,Guyana,782766.0,3188.0,92.0,4.072736935431534,0.11753193163729646,False
Brazil,Paraguay,7044636.0,45647.0,966.0,6.4796818458753584,0.13712560876104882,False
Brazil,Peru,32510453.0,832929.0,32914.0,25.620344324331622,1.0124128384184619,False
Brazil,Suriname,581372.0,4965.0,106.0,8.540142972141762,0.18232732226526216,False
Brazil,Uruguay,3461734.0,2177.0,49.0,0.6288755866279732,0.014154755969118367,False
Brazil,Venezuela,28515829.0,79796.0,665.0,2.7983054604514566,0.02332038111183792,False
Brunei,Brunei,433285.0,146.0,3.0,0.3369606609968035,0.006923849198564456,True
Brunei,Malaysia,31949777.0,13504.0,141.0,0.42266335693047247,0.004413176342357569,False
Bulgaria,Bulgaria,6975761.0,22306.0,862.0,3.1976439559784233,0.12357074733495026,True
Bulgaria,Greece,10716322.0,20541.0,420.0,1.9167957065866443,0.03919255132497885,False
Bulgaria,Romania,19356544.0,139612.0,5121.0,7.212651184013014,0.2645616903513355,False
Bulgaria,Serbia,6944975.0,34072.0,757.0,4.905993182120886,0.10899967242502673,False
Bulgaria,Turkey,83429615.0,327557.0,8553.0,3.9261478073463483,0.10251755326930372,False
Burkina Faso,Benin,11801151.0,2357.0,41.0,0.1997262809364951,0.003474237385827874,False
Burkina Faso,Burkina Faso,20321378.0,2197.0,59.0,0.10811274707847077,0.0029033464167636663,True
Burkina Faso,Cote d'Ivoire,25716544.0,19903.0,120.0,0.7739375866368359,0.004666256865619269,False
Burkina Faso,Ghana,30417856.0,46829.0,303.0,1.5395233641713606,0.00996125433692631,False
Burkina Faso,Mali,19658031.0,3195.0,131.0,0.1625289938753276,0.006663943097861632,False
Burkina Faso,Niger,23310715.0,1200.0,69.0,0.05147847245354765,0.00296001216607899,False
Burkina Faso,Togo,8082366.0,1881.0,49.0,0.23272888161709082,0.00606258117981789,False
Burundi,Burundi,11530580.0,514.0,1.0,0.04457711580857164,8.672590624235729e-05,True
Burundi,"Congo, Dem. Rep.",86790567.0,10778.0,274.0,0.1241840026232344,0.0031570251177181503,False
Burundi,Rwanda,12626950.0,4873.0,29.0,0.3859205904830541,0.002296674969014687,False
Burundi,Tanzania,58005463.0,509.0,21.0,0.008775035551392807,0.0003620348655780922,False
Cambodia,Cambodia,16486542.0,280.0,0.0,0.016983549370146876,0.0,True
Cambodia,Lao,7169455.0,23.0,0.0,0.003208054168692042,0.0,False
Cambodia,Thailand,69625582.0,3615.0,59.0,0.05192057137849131,0.0008473896850154875,False
Cambodia,Vietnam,96462106.0,1098.0,35.0,0.011382708148627815,0.00036283678069396494,False
Cameroon,Cameroon,25876380.0,20924.0,420.0,0.8086138787573841,0.016231018403656153,True
Cameroon,Central African Republic,4745185.0,4852.0,62.0,1.0225101866418276,0.013065876251400103,False
Cameroon,Chad,15946876.0,1238.0,88.0,0.07763276017196095,0.00551832220931548,False
Cameroon,"Congo, Rep.",5380508.0,5089.0,89.0,0.945821472619314,0.01654118904757692,False
Cameroon,Equatorial Guinea,1355986.0,5052.0,83.0,3.725702182765899,0.061210071490413624,False
